SONG,SET,VENUE,DATE
YOUR TOUCH,1,THE PUB TIFTON,7/1/2026
JUST WHAT I NEEDED,1,THE PUB TIFTON,7/1/2026
DON'T YOU FORGET ABOUT ME,1,THE PUB TIFTON,7/1/2026
HOLD ON LOOSELY,1,THE PUB TIFTON,7/1/2026
I THINK WE'RE ALONE NOW,1,THE PUB TIFTON,7/1/2026
FAITH,1,THE PUB TIFTON,7/1/2026
FELL IN LOVE WITH A GIRL,1,THE PUB TIFTON,7/1/2026
FLAGPOLE SITTA,1,THE PUB TIFTON,7/1/2026
INSIDE OUT,1,THE PUB TIFTON,7/1/2026
MY HERO,1,THE PUB TIFTON,7/1/2026
EVERLONG,1,THE PUB TIFTON,7/1/2026
SLITHER,1,THE PUB TIFTON,7/1/2026
TALKING IN YOUR SLEEP,2,THE PUB TIFTON,7/1/2026
SAY IT AIN'T SO,2,THE PUB TIFTON,7/1/2026
ELECTRIC WORRY,2,THE PUB TIFTON,7/1/2026
HARD TO HANDLE,2,THE PUB TIFTON,7/1/2026
BLISTER IN THE SUN,2,THE PUB TIFTON,7/1/2026
TOXIC,2,THE PUB TIFTON,7/1/2026
ARE YOU GONNA BE MY GIRL?,2,THE PUB TIFTON,7/1/2026
ARE YOU GONNA GO MY WAY?,2,THE PUB TIFTON,7/1/2026
MY OWN WORST ENEMY,2,THE PUB TIFTON,7/1/2026
ALL THE SMALL THINGS,2,THE PUB TIFTON,7/1/2026
FIGHT FOR YOUR RIGHT,2,THE PUB TIFTON,7/1/2026
SANTERIA,2,THE PUB TIFTON,7/1/2026
HIGHWAY TUNE,2,THE PUB TIFTON,7/1/2026
SIMPLE MAN,2,THE PUB TIFTON,7/1/2026
I ALONE,3,THE PUB TIFTON,7/1/2026
MOTHER,3,THE PUB TIFTON,7/1/2026
DETROIT RICK CITY,3,THE PUB TIFTON,7/1/2026
DIRTY DEEDS,3,THE PUB TIFTON,7/1/2026
WELCOME TO PARADISE,3,THE PUB TIFTON,7/1/2026
MACHINE HEAD,3,THE PUB TIFTON,7/1/2026
MAN IN THE BOX,3,THE PUB TIFTON,7/1/2026
POSSUM KINGDOM,3,THE PUB TIFTON,7/1/2026
COME OUT AND PLAY,3,THE PUB TIFTON,7/1/2026
REMEDY,3,THE PUB TIFTON,7/1/2026
EVEN FLOW,3,THE PUB TIFTON,7/1/2026
SHINE,3,THE PUB TIFTON,7/1/2026
DANCING WITH MYSELF,1,THE PUB TIFTON,7/14/2026
JUST WHAT I NEEDED,1,THE PUB TIFTON,7/14/2026
HOLD ON LOOSELY,1,THE PUB TIFTON,7/14/2026
FAITH,1,THE PUB TIFTON,7/14/2026
COME TOGETHER,1,THE PUB TIFTON,7/14/2026
IN THE MEANTIME,1,THE PUB TIFTON,7/14/2026
PLUSH,1,THE PUB TIFTON,7/14/2026
CUMBERSOME,1,THE PUB TIFTON,7/14/2026
FLAGPOLE SITTA,1,THE PUB TIFTON,7/14/2026
INSIDE OUT,1,THE PUB TIFTON,7/14/2026
MY HERO,1,THE PUB TIFTON,7/14/2026
EVERLONG,1,THE PUB TIFTON,7/14/2026
ROXANNE,2,THE PUB TIFTON,7/14/2026
RUN TO YOU,2,THE PUB TIFTON,7/14/2026
BUDDY HOLLY,2,THE PUB TIFTON,7/14/2026
BLISTER IN THE SUN,2,THE PUB TIFTON,7/14/2026
SANTERIA,2,THE PUB TIFTON,7/14/2026
TOXIC,2,THE PUB TIFTON,7/14/2026
ALL THE SMALL THINGS,2,THE PUB TIFTON,7/14/2026
MY OWN WORST ENEMY,2,THE PUB TIFTON,7/14/2026
ARE YOU GONNA GO MY WAY?,2,THE PUB TIFTON,7/14/2026
HIGHWAY TUNE,2,THE PUB TIFTON,7/14/2026
JOHNNY B GOODE,2,THE PUB TIFTON,7/14/2026
ROCK & ROLL,2,THE PUB TIFTON,7/14/2026
DETROIT ROCK CITY,3,THE PUB TIFTON,7/14/2026
POSSUM KINGDOM,3,THE PUB TIFTON,7/14/2026
COMEDOWN,3,THE PUB TIFTON,7/14/2026
CREEP,3,THE PUB TIFTON,7/14/2026
MAN IN THE BOX,3,THE PUB TIFTON,7/14/2026
WOULD?,3,THE PUB TIFTON,7/14/2026
MACHINE HEAD,3,THE PUB TIFTON,7/14/2026
MOTHER,3,THE PUB TIFTON,7/14/2026
HEY MAN NICE SHOT,3,THE PUB TIFTON,7/14/2026
REMEDY,3,THE PUB TIFTON,7/14/2026
EVEN FLOW,3,THE PUB TIFTON,7/14/2026
SHINE,3,THE PUB TIFTON,7/14/2026
