ARTIST,SONG,DECADE,GENRE,BASE TUNING,DROP D?,ACOUSTIC?,DANCY?,ENERGY,EXPLICIT,USUAL SET,SLOT PREF,ALWAYS FOLLOWED BY,FUN BLOCK?,IS CORE,STATUS,SONG NOTES
38 SPECIAL,HOLD ON LOOSELY,80s,"POP, CLASSIC",STANDARD,N,BOTH,Y,2,N,1,,,,Y,ACTIVE,
AC/DC,DIRTY DEEDS (DONE DIRT CHEAP),70s,"CLASSIC, HEAVY",FLAT,N,N,N,3,N,3,,,,,ACTIVE,
ALICE IN CHAINS,MAN IN THE BOX,90s,"ALT, GRUNGE, HEAVY",FLAT,N,N,N,4,Y,3,,,,,ACTIVE,
ALICE IN CHAINS,WOULD?,90s,"ALT, GRUNGE, HEAVY",FLAT,N,N,N,4,N,3,,,,,ACTIVE,
ALICE IN CHAINS,NUTSHELL,90s,"ALT, GRUNGE",FLAT,N,Y,N,2,Y,2,,,,,ACTIVE,
BEASTIE BOYS,FIGHT FOR YOUR RIGHT,80s,"ALT, HEAVY",FLAT,N,N,Y,4,MAYBE,2,,,MIDDLE,,ACTIVE,
BEATLES,BIRTHDAY,60s,SPECIAL,"STANDARD, FLAT",N,BOTH,Y,2,N,ANY,,,,,ACTIVE,"Do not add to set list unless it's a birthday party, in which case, add it in the middle of the first set"
BEATLES,COME TOGETHER,60s,CLASSIC,"STANDARD, FLAT",N,N,Y,1,N,1,,,,,ACTIVE,
BILLY IDOL,DANCING WITH MYSELF,80s,"POP, CLASSIC",STANDARD,N,N,Y,2,N,1,OPENER,,,,ACTIVE,
BILLY JOE ARMSTRONG,I THINK WE'RE ALONE NOW,00s,"POP, ALT, GRUNGE",STANDARD,N,BOTH,Y,2,N,1,,,,,ACTIVE,
BLACK CROWES,HARD TO HANDLE,90s,"GRUNGE, CLASSIC","STANDARD, FLAT",N,BOTH,Y,2,N,2,,,MIDDLE,Y,ACTIVE,
BLACK KEYS,YOUR TOUCH,00s,"ALT, CLASSIC",STANDARD,N,BOTH,Y,1,N,1,OPENER,,,,ACTIVE,
BLACK SABBATH,WAR PIGS,70s,"CLASSIC, HEAVY",FLAT,N,N,N,4,N,3,OPENER,,,,ACTIVE,
BLACK SABBATH,PARANOID,70s,"CLASSIC, HEAVY",FLAT,N,N,N,4,N,3,OPENER,,,,ACTIVE,
BLINK 182,ALL THE SMALL THINGS,90s,"ALT, GRUNGE, CLASSIC",FLAT,N,N,Y,3,N,2,,,MIDDLE,Y,ACTIVE,
BRITNEY SPEARS,TOXIC,00s,"POP, ALT, GRUNGE, HEAVY",FLAT,N,N,Y,3,N,2,,,MIDDLE,,ACTIVE,
BRYAN ADAMS,RUN TO YOU,80s,"POP, CLASSIC",FLAT,N,BOTH,N,2,MAYBE,2,OPENER,,,,ACTIVE,
BUSH,COMEDOWN,90s,"POP, ALT, GRUNGE",FLAT,N,BOTH,N,3,N,3,,,,,ACTIVE,
BUSH,MACHINE HEAD,90s,"POP, ALT, GRUNGE, HEAVY",FLAT,N,N,N,4,N,3,,,,,ACTIVE,
CARS,JUST WHAT I NEEDED,80s,"POP, CLASSIC",STANDARD,N,BOTH,Y,2,N,1,OPENER,,,Y,ACTIVE,
CHEAP TRICK,I WANT YOU TO WANT ME,70s,"POP, CLASSIC",STANDARD,N,N,Y,2,N,1,,,,,ACTIVE,
CHUCK BERRY,JOHNNY B GOODE,50s,CLASSIC,FLAT,N,N,Y,2,N,2,,ROCK & ROLL,,,ACTIVE,Must always be followed immediately by Rock & Roll. Never separate them.
CLASH,SHOULD I STAY OR SHOULD I GO,80s,"CLASSIC, ALT",FLAT,N,BOTH,Y,3,N,2,,,,,ACTIVE,
CLUTCH,ELECTRIC WORRY,10s,"ALT, GRUNGE, HEAVY",FLAT,N,N,Y,4,N,2,,HARD TO HANDLE,BEGINNING,Y,ACTIVE,
COLLECTIVE SOUL,SHINE,90s,"ALT, GRUNGE, HEAVY",FLAT,Y,BOTH,Y,4,N,3,,,,Y,ACTIVE,"Drop-D tuning. This is a massive, epic track—save it strictly as a set closer, preferred 3rd set in most cases."
CRACKER,LOW,90s,"ALT, GRUNGE, HEAVY","STANDARD, FLAT",N,BOTH,N,3,MAYBE,3,,,,,ACTIVE,
CURE,JUST LIKE HEAVEN,80s,"POP, ALT, CLASSIC","STANDARD, FLAT",N,BOTH,Y,2,N,2,,,,,ACTIVE,
DANZIG,MOTHER,90s,"ALT, GRUNGE, HEAVY",FLAT,N,N,N,5,MAYBE,3,,,,,ACTIVE,
DAYS OF THE NEW,"TOUCH, PEEL, AND STAND",90s,"ALT, GRUNGE",FLAT,Y,Y,N,2,N,2,,,,,ACTIVE,Only included if there is an acoustic block
DURAN DURAN,RIO,80s,"POP, ALT, CLASSIC",STANDARD,N,N,Y,3,N,1,,,,,ACTIVE,
